2026-04-22 13:57:08 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:09 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:09 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:10 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:10 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:11 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:11 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:11 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:12 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:12 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:13 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:13 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:14 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:14 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:14 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:15 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:15 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:15 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:16 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:16 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:17 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:17 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:18 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:18 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:19 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:20 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:20 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:21 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:21 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:21 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:22 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:22 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:23 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:23 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:24 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:25 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:25 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:26 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:26 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:27 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:27 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:28 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:28 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:29 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:29 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:30 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:30 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:31 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:31 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:31 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:32 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:33 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:33 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:33 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:34 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:34 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:35 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:35 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:35 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:36 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:36 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:37 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:37 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:38 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:38 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:39 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:39 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:40 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:40 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:40 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:41 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:41 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:42 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:42 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:43 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:43 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:44 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:44 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:45 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:45 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:46 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:46 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:46 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:47 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:47 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:47 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:49 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:50 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:50 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:51 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:51 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:52 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:52 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:53 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:53 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:53 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:54 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:54 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:55 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:55 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:56 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:56 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:57 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:57 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:58 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:58 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:58 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:59 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:59 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:00 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:00 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:00 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:01 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:01 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:02 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:02 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:02 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:03 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:03 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:04 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:04 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:05 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:05 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:06 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:06 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:06 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:07 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:07 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:08 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:08 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:08 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:09 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:09 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:10 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:10 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:11 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:12 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:14 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:15 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:16 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:17 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:17 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:18 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:19 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:19 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:19 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:20 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:20 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:21 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:21 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:21 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:22 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:22 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:23 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:23 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:24 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:24 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:24 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:25 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:58:25 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
