2026-04-22 13:56:29 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:29 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:30 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:30 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:30 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:30 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:30 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:30 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:31 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:31 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:31 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:31 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:31 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:31 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:32 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:32 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:32 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:32 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:32 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:32 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:33 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:33 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:33 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:33 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:33 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:33 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:34 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:34 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:34 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:34 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:34 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:34 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:35 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:35 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:35 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:35 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:36 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:36 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:36 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:36 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:36 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:36 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:37 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:37 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:56:37 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:37 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:38 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:38 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:38 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:38 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:38 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:38 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:39 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:39 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:39 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:39 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:39 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:39 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:40 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:40 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:40 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:40 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:40 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:40 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:41 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:41 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:41 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:41 | Object: ping pong ball | Confidence: 0.73
